label,message
ham,"Hey, are you coming to the office today?"
spam,"Congratulations! You won a free iPhone. Claim now!"
ham,"Can you call me when you are free?"
spam,"You have won 50,000 rupees! Click here to claim your prize."
ham,"Meeting is scheduled at 3 PM."
spam,"URGENT! You have been selected for a cash prize!"
ham,"Please send me the project report."
spam,"Get FREE recharge now. Click the link!"
ham,"What time are we meeting tomorrow?"
spam,"Congratulations! You are the lucky winner of a brand new phone!"
ham,"I'll call you after work."
spam,"Win a cash reward by clicking this link!"
ham,"Can you send me the files?"
spam,"You have received a special offer. Claim it now!"
ham,"Let's have lunch at 1 PM."
spam,"FREE MONEY! You have been selected as a winner!"
ham,"Please remind me about the meeting."
spam,"Exclusive offer! Get your free gift today!"
ham,"I reached home safely."
spam,"Congratulations! Claim your free voucher now!"
